iter	sum1	sum10	sum30	ba	ba10	agb	gpp	npp	rday	rnight	rstem	litterfall
192	5393.25	440.25	71	24.7083	20.7707	278546	0.0896544	0.0312456	0	0.0214063	0.00576831	0.005469
193	5392.5	440.25	71	24.7095	20.7714	278556	0.0886417	0.0294134	0	0.0221726	0.0059725	0.00546806
194	5393.75	440.25	71	24.7098	20.772	278564	0.0893293	0.030078	0	0.0220536	0.00593188	0.00546698
195	5393.25	440.25	71	24.711	20.7727	278575	0.091365	0.0305812	0	0.0226808	0.0060994	0.00546607
196	5393	440.25	71	24.7122	20.7734	278585	0.0896308	0.0291056	0	0.0228642	0.00614262	0.00546515
197	5390.5	440.5	71	24.7127	20.776	278594	0.0877521	0.0299497	0	0.0214093	0.00573189	0.00546414
198	5388.25	440.5	71	24.7137	20.7766	278603	0.0804342	0.0243669	0	0.0217318	0.00581262	0.00546323
199	5386.75	440.5	71.25	24.7145	20.7771	278611	0.0677334	0.0186467	0	0.0195823	0.00523916	0.00546235
200	5386	440.5	71.25	24.7157	20.7778	278622	0.0870822	0.0299106	0	0.0211158	0.0056547	0.00546152
201	5385.5	440.5	71.25	24.7075	20.7712	278556	0.0810954	0.0265338	0	0.0205692	0.00550025	0.00546059
202	5383.25	440.25	71.25	24.7052	20.7685	278546	0.087339	0.0296146	0	0.021446	0.00573406	0.00545918
203	5384.75	440.25	71.25	24.7064	20.7691	278556	0.0877303	0.0285435	0	0.0223627	0.00597829	0.00545845
204	5385.75	440.25	71.25	24.7076	20.7698	278566	0.0869531	0.0281876	0	0.0222409	0.00593768	0.0054577
205	5382.5	440.25	71.25	24.7086	20.7704	278576	0.0859841	0.0274789	0	0.0222666	0.00593837	0.00545695
206	5385.25	440.25	71.25	24.7097	20.771	278585	0.07644	0.0225161	0	0.0211076	0.00561868	0.00545623
207	5382.75	440.25	71.25	24.7106	20.7717	278595	0.088511	0.0290206	0	0.0224189	0.00598093	0.00545552
208	5381.5	440.25	71.25	24.7118	20.7724	278606	0.0943184	0.0314728	0	0.0235102	0.00627899	0.00545487
209	5379.25	440.25	71.25	24.7131	20.7731	278617	0.0951751	0.03134	0	0.0240091	0.00641178	0.00545426
210	5376.25	440.25	71.25	24.7142	20.7738	278627	0.093847	0.0303694	0	0.0240441	0.00641264	0.00545363
211	5374.25	440.25	71.25	24.7153	20.7745	278638	0.0921217	0.0295834	0	0.0237666	0.00632517	0.00545306
212	5374.5	440.25	71.25	24.7167	20.7752	278649	0.093642	0.0315208	0	0.0231825	0.00615299	0.00545252
213	5374	440.25	71.25	24.7178	20.7759	278659	0.0911298	0.0292679	0	0.0235235	0.00623973	0.00545204
214	5372.5	440.25	71.25	24.7189	20.7766	278670	0.0943778	0.0305822	0	0.0241744	0.00641595	0.00545154
215	5373.25	440.25	71.25	24.7193	20.7773	278678	0.0940503	0.0305435	0	0.024052	0.00637238	0.00545111
216	5372.5	440.25	71.25	24.7184	20.7779	278680	0.0804645	0.0248154	0	0.0215014	0.00566454	0.00545038
217	5372.25	440.25	71.25	24.7196	20.7786	278690	0.0847398	0.0271634	0	0.0219357	0.0057842	0.00544995
218	5370.75	440.25	71.25	24.7197	20.7793	278695	0.0939217	0.0315582	0	0.0233126	0.0061572	0.00544958
219	5369.25	440.5	71.25	24.7208	20.782	278706	0.0956519	0.0315731	0	0.0241261	0.00637516	0.00544923
220	5369	440.5	71.25	24.7221	20.7827	278716	0.0914695	0.0297577	0	0.0233834	0.00615885	0.00544891
221	5366.75	440.25	71.25	24.7179	20.779	278680	0.0862486	0.0267628	0	0.0229456	0.00603104	0.00544647
222	5364	440.25	71.25	24.7188	20.7796	278690	0.0913198	0.0286909	0	0.0240406	0.00633163	0.00544618
223	5364.25	440.5	71.25	24.7196	20.7823	278699	0.0860784	0.0285833	0	0.0216302	0.00566761	0.00544586
224	5362.5	440.5	71.25	24.7209	20.783	278711	0.0924549	0.03147	0	0.0227058	0.00595011	0.00544569
225	5362.75	440.5	71.25	24.722	20.7837	278721	0.0877211	0.0278964	0	0.0228913	0.00599231	0.00544549
226	5361	440.5	71.25	24.7222	20.7844	278728	0.0840682	0.0273105	0	0.0215519	0.00563056	0.00544525
227	5359	440.5	71.25	24.7221	20.7849	278733	0.0653189	0.0175563	0	0.0192546	0.00503994	0.00544471
228	5356.25	440.5	71.25	24.7224	20.7855	278741	0.0809141	0.0268346	0	0.0203599	0.00532765	0.00544436
229	5356	440.5	71.25	24.7235	20.7863	278753	0.079048	0.0255129	0	0.0203754	0.00532825	0.00544417
